Waktu,Samarinda,Balikpapan,Sendawar,Tarakan,Tanjungselor,Malinau,Palangkaraya,Purukcahu,Pangkalanbun,Banjarmasin,KotaBaru,Barabai,Pontianak,Ketapang,Sintang
Jul-09,77.28999904,60.61999982,32.1499996,54.37000021,59.83999979,155.6900009,40.61999979,57.17999935,73.82999963,27.80999987,62.10999988,46.92999984,18.43000014,24.62999997,48.89999989
Aug-09,86.48999836,84.32999936,88.80999956,55.70999943,58.20999962,126.7699998,112.8399998,105.750001,33.89000016,100.1399988,54.91000027,73.42000049,0.819999993,21.46999991,37.44999945
Sep-09,37.15999949,41.39000024,55.30000012,47.2699998,33.56,80.55999959,44.92000028,55.5000008,20.34999958,37.57999983,34.95999994,58.27999928,0.919999987,29.29000092,22.64999968
Oct-09,55.8399997,49.16999985,95.59999996,70.94999999,72.13999984,202.8900008,126.8300004,76.31000024,174.9699993,88.31000071,75.22999999,62.71999965,94.96000259,93.52000087,81.14999971
Nov-09,132.9999995,140.5200001,192.2100012,61.81999978,49.92999959,71.26999959,95.84000003,110.4100001,171.0800009,107.6200014,178.5799992,136.7699987,36.86999992,85.13000032,133.4000006
Dec-09,101.2999993,96.58000026,166.9499998,35.30000004,15.0199998,64.90000004,211.3099987,133.3700001,144.8800002,137.2700007,125.2500012,173.3699986,50.63999988,121.16,158.1199992
Jan-10,62.47999991,81.7799991,146.8700002,65.33000022,71.0700005,139.5500005,191.2199994,74.25999954,88.19999954,157.0400017,27.39999982,101.1800007,83.08000005,88.72000131,149.7
Feb-10,10.23000017,6.759999834,52.22999942,11.8900001,20.03000051,28.43999925,131.6400004,74.64999926,114.5100004,63.70999993,2.060000006,48.44000078,59.69999909,160.2400012,105.7500006
Mar-10,20.25000051,13.66999988,53.88999993,61.95999938,39.42000049,38.27000013,100.7099992,142.7500005,105.0799985,79.31000033,12.00999989,30.4799999,108.3999996,119.2999993,103.4000005
Apr-10,35.8599999,41.66999948,134.7900001,76.12000015,86.22999999,123.4800001,239.0999994,197.1800001,46.21000007,85.19000087,23.36000015,77.14999955,88.35000066,95.26999895,123.9399999
May-10,50.58999928,53.07000016,97.37000094,85.32000023,66.40999964,68.44000015,120.3299992,149.390002,84.02999961,74.02999999,74.29000006,71.31000025,77.35999984,110.579999,122.8500001
Jun-10,136.5599993,134.1700005,126.4900001,39.12999994,46.34999996,58.62999997,68.56000084,127.8699997,71.2300003,50.96000039,121.9999999,110.9300001,96.56000012,112.7999998,107.9300002
Jul-10,139.5900003,130.6099998,112.6799998,90.30999908,84.96000022,98.31000036,103.4500007,104.2000005,127.1599997,107.0900011,98.90000011,117.2499997,155.1100007,123.6500003,160.2699993
Aug-10,96.35000022,95.06999981,83.48000056,71.27999999,60.89000006,93.7199994,94.18999952,87.40000059,142.7900007,85.38000023,77.67000022,106.9599999,136.3500003,128.2200001,229.4600015
Sep-10,120.0900002,113.3199997,109.3400003,56.15999967,70.28000042,88.44000009,77.87000066,98.03999944,190.0399999,67.12000012,101.3400004,113.2699994,198.6700005,212.7099991,138.5100007
Oct-10,131.8999997,107.5799993,126.7400007,87.34999993,56.35999972,102.1599993,143.7400006,97.79000033,101.9899995,86.10999938,146.9700004,142.3499996,188.7799996,122.3600003,105.5700001
Nov-10,78.56000022,123.5600001,147.5499998,94.55999997,54.02999985,85.58000073,102.8500009,106.9600001,150.38,78.91000009,56.0699996,115.3,54.50000026,141.3899994,121.2500005
Dec-10,181.9600007,127.2900001,115.2099999,96.59999964,83.88,143.8800012,107.0800001,107.6000002,77.69000024,99.0999991,128.7899998,128.1799996,80.47999964,54.1600004,86.83000025
Jan-11,154.7299998,129.2499995,197.7299991,120.8200006,113.4900005,238.840001,165.5200004,212.8999981,71.20000011,411.6199973,124.1899996,187.8700007,43.22999997,95.48,91.35000008
